tl_id,cycle_time,num_phases,green_ratio,is_actuated,offset,avg_queue_length,max_queue_length,hour_of_day,day_of_week,weather_condition,efficiency_score
5174768798,111.0,4,0.9459459459459459,0,0.0,30.519518493041957,364.63,8,1,0,94.5945945945946
598638093,90.0,4,1.0,0,0.0,30.519518493041957,364.63,8,1,0,100.0
GS_6307707617,90.0,4,0.9333333333333333,1,0.0,30.519518493041957,364.63,8,1,0,93.33333333333333
GS_cluster_567018823_567018825_60796127_627616148,90.0,4,0.9333333333333333,1,0.0,30.519518493041957,364.63,8,1,0,93.33333333333333
cluster10933668877_5595652840_cluster10933668876_2105320310_cluster_549978784_5595652835,90.0,4,1.0,0,0.0,30.519518493041957,364.63,8,1,0,100.0
cluster1110850310_1110850317_2870523774_2870523779,270.0,10,1.0,0,0.0,30.519518493041957,364.63,8,1,0,91.0
cluster12744677009_271915959_271915960_271915964_#6more,312.0,10,1.0,0,0.0,30.519518493041957,364.63,8,1,0,86.8
cluster1315466383_535929969,90.0,6,0.9111111111111111,0,0.0,30.519518493041957,364.63,8,1,0,91.11111111111111
cluster1727969275_262933414,90.0,4,0.9333333333333333,0,0.0,30.519518493041957,364.63,8,1,0,93.33333333333333
cluster1813470946_2871916559,90.0,3,0.8777777777777778,0,0.0,30.519518493041957,364.63,8,1,0,87.77777777777777
cluster1846778819_1846778841_262621819,174.0,6,0.9482758620689655,0,0.0,30.519518493041957,364.63,8,1,0,94.82758620689656
cluster5174799449_5174799460_549979452_5509364880_#5more,270.0,10,1.0,0,0.0,30.519518493041957,364.63,8,1,0,91.0
cluster548169321_clustercluster_5335083750_5335083751_cluster_5335083753_548169328,252.0,9,1.0,0,0.0,30.519518493041957,364.63,8,1,0,92.8
cluster_1110429653_1110429678_271723052_533591187,270.0,10,1.0,1,0.0,30.519518493041957,364.63,8,1,0,91.0
cluster_1204539451_627616136_6661193351_6661193352,90.0,7,0.9222222222222223,1,0.0,30.519518493041957,364.63,8,1,0,92.22222222222223
cluster_1205721115_270457493_533591204_548237807,270.0,10,1.0,1,0.0,30.519518493041957,364.63,8,1,0,91.0
cluster_1207640518_1207640561,270.0,10,1.0,1,0.0,30.519518493041957,364.63,8,1,0,91.0
cluster_12554139993_1642182227,90.0,5,0.9555555555555556,0,0.0,30.519518493041957,364.63,8,1,0,95.55555555555556
cluster_1315466381_283262974,90.0,4,1.0,0,0.0,30.519518493041957,364.63,8,1,0,100.0
cluster_1642181951_5778234852,90.0,5,1.0,0,0.0,30.519518493041957,364.63,8,1,0,100.0
cluster_1932509142_1932509149_5163385221_5577544538,270.0,10,1.0,0,0.0,30.519518493041957,364.63,8,1,0,91.0
cluster_2105613523_277367619,90.0,5,0.9333333333333333,0,0.0,30.519518493041957,364.63,8,1,0,93.33333333333333
cluster_2106313778_262876040_262959646_549979088_#1more,159.0,6,1.0,0,0.0,30.519518493041957,364.63,8,1,0,100.0
cluster_2179643856_2179643858_4879150477_4879150478,90.0,4,1.0,1,0.0,30.519518493041957,364.63,8,1,0,100.0
cluster_2250794168_283262764_283262787_283262818_#1more,90.0,5,0.9555555555555556,0,0.0,30.519518493041957,364.63,8,1,0,95.55555555555556
cluster_262622201_463219707_463219708_5184062874_#5more,90.0,6,0.8666666666666667,1,0.0,30.519518493041957,364.63,8,1,0,86.66666666666667
cluster_262959052_5183286104,162.0,7,1.0,0,0.0,30.519518493041957,364.63,8,1,0,100.0
cluster_283262872_444451567,255.0,10,1.0,0,0.0,30.519518493041957,364.63,8,1,0,92.5
cluster_444454014_5183846928_5555437353_5555437358_#1more,129.0,6,1.0,0,0.0,30.519518493041957,364.63,8,1,0,100.0
cluster_5174486926_5457371966_8049122580_8049122582,90.0,5,0.9555555555555556,0,0.0,30.519518493041957,364.63,8,1,0,95.55555555555556
cluster_5457426887_5457426889_938404091_938404092,90.0,4,0.8888888888888888,1,0.0,30.519518493041957,364.63,8,1,0,88.88888888888889
cluster_5575415651_5577509426_5577509427_573460110,90.0,4,0.9333333333333333,0,0.0,30.519518493041957,364.63,8,1,0,93.33333333333333
clustercluster1766513454_1766513471_cluster1766513457_J7_cluster1766513458_J5_cluster497559506_J0,270.0,10,1.0,0,0.0,30.519518493041957,364.63,8,1,0,91.0
clustercluster_5461873735_5572575660_cluster_5572576738_5572576754,90.0,6,0.9,0,0.0,30.519518493041957,364.63,8,1,0,90.0
joinedS_1204539355_420894226_4878948040_60775909,90.0,12,0.8666666666666667,1,0.0,30.519518493041957,364.63,8,1,0,86.66666666666667
joinedS_5173182232_5173182234_cluster_1091295915_262879172_5173124885_5173124888_#11more,90.0,4,1.0,1,0.0,30.519518493041957,364.63,8,1,0,100.0
joinedS_cluster_1205721105_463219697_533591154_585168279_cluster_463219694_533591148_533591150,90.0,9,0.8666666666666667,1,0.0,30.519518493041957,364.63,8,1,0,86.66666666666667
